,Country,Player,Runs,MatchDate,Weekday,Ground,Versus,Balls,Centuries,Strike_Rate
33737,South Africa,Gary Kirsten,124,22-10-2001,Mon,Newlands,Kenya,130,1,0.9538461538461539
33738,South Africa,Gary Kirsten,118,06-10-1996,Sun,Gymkhana Club Ground,Pakistan,127,1,0.9291338582677166
33739,South Africa,Gary Kirsten,116,14-01-1996,Sun,Supersport Park,England,126,1,0.9206349206349206
33740,South Africa,Gary Kirsten,115,19-04-1996,Fri,Sharjah CA Stadium,India,142,1,0.8098591549295775
33741,South Africa,Gary Kirsten,115,09-03-2000,Thu,Nehru Stadium (Kochi),India,123,1,0.9349593495934959
33742,South Africa,Gary Kirsten,112,21-01-1994,Fri,Melbourne Cricket Ground,Australia,137,1,0.8175182481751825
33743,South Africa,Gary Kirsten,106,14-04-1996,Sun,Sharjah CA Stadium,India,116,1,0.9137931034482759
33744,South Africa,Gary Kirsten,105,19-10-1996,Sat,Nehru Stadium (Indore),Australia,134,1,0.7835820895522388
33745,South Africa,Gary Kirsten,103,09-01-1998,Fri,Brisbane Cricket Ground,New Zealand,113,1,0.911504424778761
33746,South Africa,Gary Kirsten,102,16-12-2002,Mon,Boland Bank Park,Pakistan,118,1,0.864406779661017
33747,South Africa,Gary Kirsten,101,28-10-2000,Sat,De Beers Diamond Oval,New Zealand,107,1,0.9439252336448598
33909,South Africa,Graeme C Smith,141,27-09-2009,Sun,Supersport Park,England,134,1,1.0522388059701493
33910,South Africa,Graeme C Smith,134,25-11-2005,Fri,Eden Gardens,India,124,1,1.0806451612903225
33911,South Africa,Graeme C Smith,119,26-02-2006,Sun,Supersport Park,Australia,124,1,0.9596774193548387
33912,South Africa,Graeme C Smith,117,27-02-2005,Sun,Kingsmead,Zimbabwe,129,1,0.9069767441860465
33913,South Africa,Graeme C Smith,115,09-02-2005,Wed,Buffalo Park,England,131,1,0.8778625954198473
33914,South Africa,Graeme C Smith,105,04-02-2005,Fri,St George's Park,England,131,1,0.8015267175572519
33915,South Africa,Graeme C Smith,103,09-03-2008,Sun,Zahur Ahmed Chowdhury Stadium,Bangladesh,118,1,0.8728813559322034
33916,South Africa,Graeme C Smith,103,07-05-2005,Sat,Sabina Park,West Indies,102,1,1.0098039215686274
34074,South Africa,Jonathan N Rhodes,121,29-09-1996,Sun,Gymkhana Club Ground,Pakistan,114,1,1.0614035087719298
34075,South Africa,Jonathan N Rhodes,107,01-02-2002,Fri,W.A.C.A. Ground,New Zealand,135,1,0.7925925925925926
34279,South Africa,Wessel J Cronje,112,19-02-1994,Sat,The Wanderers Stadium,Australia,120,1,0.9333333333333333
34280,South Africa,Wessel J Cronje,100,24-10-1994,Mon,Arbab Niaz Stadium,Australia,124,1,0.8064516129032258
34446,South Africa,Mark V Boucher,147,20-09-2006,Wed,Senwes Park,Zimbabwe,68,1,2.161764705882353
34649,South Africa,Abraham B de Villiers,146,10-04-2007,Tue,National Cricket Stadium,West Indies,129,1,1.1317829457364341
34650,South Africa,Abraham B de Villiers,134,03-03-2011,Thu,Punjab Cricket Association Stadium,Netherlands,98,1,1.3673469387755102
34651,South Africa,Abraham B de Villiers,121,27-11-2009,Fri,Newlands,England,85,1,1.423529411764706
34652,South Africa,Abraham B de Villiers,114,24-02-2010,Wed,Captain Roop Singh Stadium,India,101,1,1.1287128712871286
34653,South Africa,Abraham B de Villiers,109,22-10-2010,Fri,Willowmoore Park,Zimbabwe,99,1,1.101010101010101
34654,South Africa,Abraham B de Villiers,107,24-02-2011,Thu,Feroz Shah Kotla,West Indies,105,1,1.019047619047619
34655,South Africa,Abraham B de Villiers,107,26-08-2007,Sun,Harare Sports Club,Zimbabwe,89,1,1.202247191011236
34656,South Africa,Abraham B de Villiers,103,18-10-2007,Thu,Gaddafi Stadium,Pakistan,95,1,1.0842105263157895
34657,South Africa,Abraham B de Villiers,102,27-02-2010,Sat,Sardar Patel Stadium,India,59,1,1.728813559322034
34658,South Africa,Abraham B de Villiers,102,22-05-2010,Sat,Sir Vivian Richards Stadium,West Indies,101,1,1.00990099009901
34659,South Africa,Abraham B de Villiers,101,17-10-2010,Sun,Senwes Park,Zimbabwe,72,1,1.4027777777777777
34758,South Africa,Daryll J Cullinan,124,29-09-1996,Sun,Gymkhana Club Ground,Pakistan,117,1,1.0598290598290598
34759,South Africa,Daryll J Cullinan,110,13-04-1996,Sat,Sharjah CA Stadium,Pakistan,109,1,1.0091743119266054
34760,South Africa,Daryll J Cullinan,106,23-10-1996,Wed,Sawai Mansingh Stadium,India,130,1,0.8153846153846154
34881,South Africa,Lance Klusener,103,20-02-1999,Sat,Eden Park,New Zealand,132,1,0.7803030303030303
34882,South Africa,Lance Klusener,101,28-09-1999,Tue,Gymkhana Club Ground,Zimbabwe,105,1,0.9619047619047619
35005,South Africa,Shaun M Pollock,130,06-06-2007,Wed,M.Chinnaswamy Stadium,ACC Asian XI,110,1,1.1818181818181819
35186,South Africa,Hendrik H Dippenaar,125,24-01-2006,Tue,Adelaide Oval,Sri Lanka,145,1,0.8620689655172413
35187,South Africa,Hendrik H Dippenaar,123,11-05-2005,Wed,Kensington Oval,West Indies,129,1,0.9534883720930233
35188,South Africa,Hendrik H Dippenaar,110,03-10-2003,Fri,Gaddafi Stadium,Pakistan,131,1,0.8396946564885496
35189,South Africa,Hendrik H Dippenaar,101,10-03-2006,Fri,Kingsmead,Australia,145,1,0.696551724137931
35277,South Africa,Kepler C Wessels,107,28-09-1984,Fri,Jawaharlal Nehru Stadium (Delhi),India,133,1,0.8045112781954887
35382,South Africa,Andrew C Hudson,161,05-03-1996,Tue,Rawalpindi Cricket Stadium,Netherlands,132,1,1.2196969696969697
35383,South Africa,Andrew C Hudson,108,15-12-1992,Tue,OUTsurance Oval,India,147,1,0.7346938775510204
35464,South Africa,Hashim M Amla,140,09-11-2008,Sun,Willowmoore Park,Bangladesh,135,1,1.037037037037037
35465,South Africa,Hashim M Amla,129,30-05-2010,Sun,Windsor Park,West Indies,115,1,1.1217391304347826
35466,South Africa,Hashim M Amla,119,02-11-2010,Tue,Dubai International Cricket Stadium,Pakistan,126,1,0.9444444444444444
35467,South Africa,Hashim M Amla,116,23-01-2011,Sun,Supersport Park,India,132,1,0.8787878787878788
35468,South Africa,Hashim M Amla,113,03-03-2011,Thu,Punjab Cricket Association Stadium,Netherlands,130,1,0.8692307692307693
35469,South Africa,Hashim M Amla,110,17-10-2010,Sun,Senwes Park,Zimbabwe,103,1,1.0679611650485437
35470,South Africa,Hashim M Amla,110,15-10-2010,Fri,OUTsurance Oval,Zimbabwe,96,1,1.1458333333333333
35471,South Africa,Hashim M Amla,102,22-05-2010,Sat,Sir Vivian Richards Stadium,West Indies,109,1,0.9357798165137615
35514,South Africa,Jean-Paul Duminy,129,22-10-2010,Fri,Willowmoore Park,Zimbabwe,117,1,1.1025641025641026
35515,South Africa,Jean-Paul Duminy,111,10-11-2009,Tue,Supersport Park,Zimbabwe,87,1,1.2758620689655173
35581,South Africa,Neil D McKenzie,131,22-10-2001,Mon,Newlands,Kenya,121,1,1.0826446280991735
35582,South Africa,Neil D McKenzie,120,17-12-2000,Sun,Buffalo Park,Sri Lanka,135,1,0.8888888888888888
35634,South Africa,Justin M Kemp,100,26-11-2006,Sun,Newlands,India,89,1,1.1235955056179776
35694,South Africa,Nico Boje,129,25-10-2000,Wed,Supersport Park,New Zealand,114,1,1.131578947368421
35695,South Africa,Nico Boje,105,20-10-2000,Fri,Senwes Park,New Zealand,93,1,1.1290322580645162
35997,South Africa,Brian M McMillan,127,21-10-1995,Sat,Harare Sports Club,Zimbabwe,120,1,1.0583333333333333
36176,South Africa,Michael J R Rindel,106,12-01-1995,Thu,The Wanderers Stadium,Pakistan,139,1,0.762589928057554
36220,South Africa,David J Callaghan,169,11-12-1994,Sun,Supersport Park,New Zealand,143,1,1.1818181818181819
36255,South Africa,Colin A Ingram,124,15-10-2010,Fri,OUTsurance Oval,Zimbabwe,126,1,0.9841269841269841
36256,South Africa,Colin A Ingram,100,31-10-2010,Sun,Sheik Zayed Stadium,Pakistan,119,1,0.8403361344537815
36748,Sri Lanka,Sanath T Jayasuriya,189,29-10-2000,Sun,Sharjah CA Stadium,India,161,1,1.173913043478261
36749,Sri Lanka,Sanath T Jayasuriya,157,04-07-2006,Tue,VRA Ground,Netherlands,104,1,1.5096153846153846
36750,Sri Lanka,Sanath T Jayasuriya,152,01-07-2006,Sat,Headingley,England,99,1,1.5353535353535352
36751,Sri Lanka,Sanath T Jayasuriya,151,17-05-1997,Sat,Wankhede Stadium,India,120,1,1.2583333333333333
36752,Sri Lanka,Sanath T Jayasuriya,140,08-12-1994,Thu,OUTsurance Oval,New Zealand,143,1,0.9790209790209791
36753,Sri Lanka,Sanath T Jayasuriya,134,02-04-1996,Tue,Padang Cricket Ground,Pakistan,65,1,2.0615384615384613
36754,Sri Lanka,Sanath T Jayasuriya,134,05-11-1997,Wed,Gaddafi Stadium,Pakistan,114,1,1.1754385964912282
36755,Sri Lanka,Sanath T Jayasuriya,130,30-06-2008,Mon,National Stadium,Bangladesh,88,1,1.4772727272727273
36756,Sri Lanka,Sanath T Jayasuriya,130,27-07-2004,Tue,R. Premadasa Stadium,India,132,1,0.9848484848484849
36757,Sri Lanka,Sanath T Jayasuriya,125,06-07-2008,Sun,National Stadium,India,114,1,1.0964912280701755
36758,Sri Lanka,Sanath T Jayasuriya,122,20-06-2006,Tue,The Oval,England,136,1,0.8970588235294118
36759,Sri Lanka,Sanath T Jayasuriya,122,09-01-2003,Thu,Sydney Cricket Ground,Australia,105,1,1.161904761904762
36760,Sri Lanka,Sanath T Jayasuriya,120,28-08-1996,Wed,R. Premadasa Stadium,India,128,1,0.9375
36761,Sri Lanka,Sanath T Jayasuriya,120,10-02-2003,Mon,OUTsurance Oval,New Zealand,125,1,0.96
36762,Sri Lanka,Sanath T Jayasuriya,115,01-04-2007,Sun,Providence Stadium,West Indies,101,1,1.1386138613861385
36763,Sri Lanka,Sanath T Jayasuriya,114,22-01-2006,Sun,Sydney Cricket Ground,Australia,96,1,1.1875
36764,Sri Lanka,Sanath T Jayasuriya,112,02-07-2002,Tue,Headingley,England,87,1,1.2873563218390804
36765,Sri Lanka,Sanath T Jayasuriya,111,28-12-2006,Thu,McLean Park,New Zealand,82,1,1.353658536585366
36766,Sri Lanka,Sanath T Jayasuriya,109,21-03-2007,Wed,Queen's Park Oval,Bangladesh,87,1,1.2528735632183907
36767,Sri Lanka,Sanath T Jayasuriya,108,22-07-1997,Tue,Sinhalese Sports Club Ground,Bangladesh,83,1,1.3012048192771084
36768,Sri Lanka,Sanath T Jayasuriya,107,10-04-2001,Tue,Sharjah CA Stadium,New Zealand,116,1,0.9224137931034483
36769,Sri Lanka,Sanath T Jayasuriya,107,23-07-2004,Fri,R. Premadasa Stadium,Bangladesh,101,1,1.0594059405940595
36770,Sri Lanka,Sanath T Jayasuriya,107,28-01-2009,Wed,Rangiri Dambulla International Stad.,India,114,1,0.9385964912280702
36771,Sri Lanka,Sanath T Jayasuriya,106,13-01-2003,Mon,Sydney Cricket Ground,England,110,1,0.9636363636363636
36772,Sri Lanka,Sanath T Jayasuriya,105,01-06-2000,Thu,Bangabandhu National Stadium,India,116,1,0.9051724137931034
36773,Sri Lanka,Sanath T Jayasuriya,103,06-02-2001,Tue,Eden Park,New Zealand,83,1,1.2409638554216869
36774,Sri Lanka,Sanath T Jayasuriya,102,26-01-1998,Mon,Sinhalese Sports Club Ground,Zimbabwe,100,1,1.02
36775,Sri Lanka,Sanath T Jayasuriya,102,12-09-2002,Thu,R. Premadasa Stadium,Pakistan,120,1,0.85
37147,Sri Lanka,D P Mahela Jayawardene,144,01-07-2011,Fri,Headingley,England,150,1,0.96
37148,Sri Lanka,D P Mahela Jayawardene,128,27-10-2000,Fri,Sharjah CA Stadium,India,123,1,1.0406504065040652
37149,Sri Lanka,D P Mahela Jayawardene,126,24-06-2006,Sat,Riverside Ground,England,127,1,0.9921259842519685
37150,Sri Lanka,D P Mahela Jayawardene,123,03-08-2009,Mon,Rangiri Dambulla International Stad.,Pakistan,108,1,1.1388888888888888
37151,Sri Lanka,D P Mahela Jayawardene,120,23-01-1999,Sat,Adelaide Oval,England,111,1,1.0810810810810811
37152,Sri Lanka,D P Mahela Jayawardene,116,10-04-2001,Tue,Sharjah CA Stadium,New Zealand,129,1,0.8992248062015504
37153,Sri Lanka,D P Mahela Jayawardene,115,24-04-2007,Tue,Sabina Park,New Zealand,109,1,1.055045871559633
37154,Sri Lanka,D P Mahela Jayawardene,108,08-01-2010,Fri,Shere Bangla National Stadium,Bangladesh,117,1,0.9230769230769231
37155,Sri Lanka,D P Mahela Jayawardene,107,10-06-2007,Sun,M.A. Chidambaram Stadium,ACA Africa XI,108,1,0.9907407407407407
37156,Sri Lanka,D P Mahela Jayawardene,106,15-12-2001,Sat,Asgiriya Stadium,West Indies,94,1,1.127659574468085
37157,Sri Lanka,D P Mahela Jayawardene,103,02-04-2011,Sat,Wankhede Stadium,India,88,1,1.1704545454545454
37158,Sri Lanka,D P Mahela Jayawardene,101,25-03-2001,Sun,R. Premadasa Stadium,England,115,1,0.8782608695652174
37159,Sri Lanka,D P Mahela Jayawardene,101,27-03-1999,Sat,Indira Priyadarshini Stadium,Pakistan,138,1,0.7318840579710145
37160,Sri Lanka,D P Mahela Jayawardene,100,28-06-2006,Wed,Old Trafford,England,83,1,1.2048192771084338
37161,Sri Lanka,D P Mahela Jayawardene,100,20-02-2011,Sun,Mahinda Rajapaksha International,Canada,81,1,1.2345679012345678
37451,Sri Lanka,Kumar C Sangakkara,138,31-10-2005,Mon,Sawai Mansingh Stadium,India,147,1,0.9387755102040817
37452,Sri Lanka,Kumar C Sangakkara,128,19-02-2008,Tue,Adelaide Oval,India,155,1,0.8258064516129032
37453,Sri Lanka,Kumar C Sangakkara,121,30-06-2008,Mon,National Stadium,Bangladesh,128,1,0.9453125
37454,Sri Lanka,Kumar C Sangakkara,112,29-06-2008,Sun,National Stadium,Pakistan,110,1,1.018181818181818
37455,Sri Lanka,Kumar C Sangakkara,111,18-03-2011,Fri,Wankhede Stadium,New Zealand,128,1,0.8671875
37456,Sri Lanka,Kumar C Sangakkara,110,11-02-2007,Sun,Madhavrao Scindia Cricket Ground,India,127,1,0.8661417322834646
37457,Sri Lanka,Kumar C Sangakkara,109,25-02-2006,Sat,Zahur Ahmed Chowdhury Stadium,Bangladesh,125,1,0.872
37458,Sri Lanka,Kumar C Sangakkara,103,06-04-2003,Sun,Sharjah CA Stadium,Kenya,108,1,0.9537037037037037
37459,Sri Lanka,Kumar C Sangakkara,101,25-06-2008,Wed,Gaddafi Stadium,Bangladesh,91,1,1.10989010989011
37460,Sri Lanka,Kumar C Sangakkara,101,27-02-2004,Fri,R. Premadasa Stadium,Australia,110,1,0.9181818181818182
37461,Sri Lanka,Kumar C Sangakkara,100,04-04-2003,Fri,Sharjah CA Stadium,Pakistan,111,1,0.9009009009009009
37723,Sri Lanka,Pinnaduwage A de Silva,145,06-03-1996,Wed,Asgiriya Stadium,Kenya,115,1,1.2608695652173914
37724,Sri Lanka,Pinnaduwage A de Silva,134,07-04-1997,Mon,Sharjah CA Stadium,Pakistan,131,1,1.0229007633587786
37725,Sri Lanka,Pinnaduwage A de Silva,127,03-09-1996,Tue,Sinhalese Sports Club Ground,Zimbabwe,123,1,1.032520325203252
37726,Sri Lanka,Pinnaduwage A de Silva,122,04-10-1996,Fri,Gymkhana Club Ground,Pakistan,116,1,1.0517241379310345
37727,Sri Lanka,Pinnaduwage A de Silva,107,17-03-1996,Sun,Gaddafi Stadium,Australia,124,1,0.8629032258064516
37728,Sri Lanka,Pinnaduwage A de Silva,107,06-11-1994,Sun,Harare Sports Club,Zimbabwe,100,1,1.07
37729,Sri Lanka,Pinnaduwage A de Silva,105,15-08-1992,Sat,P Sara Oval,Australia,105,1,1.0
37730,Sri Lanka,Pinnaduwage A de Silva,105,07-07-1998,Tue,R. Premadasa Stadium,India,94,1,1.1170212765957446
37731,Sri Lanka,Pinnaduwage A de Silva,104,01-12-1990,Sat,Vidarbha Cricket Association Ground,India,124,1,0.8387096774193549
37732,Sri Lanka,Pinnaduwage A de Silva,104,24-08-1997,Sun,Sinhalese Sports Club Ground,India,117,1,0.8888888888888888
37733,Sri Lanka,Pinnaduwage A de Silva,102,05-11-1997,Wed,Gaddafi Stadium,Pakistan,90,1,1.1333333333333333
38002,Sri Lanka,Marvan S Atapattu,132,20-08-1998,Thu,Lord's,England,151,1,0.8741721854304636
38003,Sri Lanka,Marvan S Atapattu,124,03-03-2003,Mon,Kingsmead,South Africa,129,1,0.9612403100775194
38004,Sri Lanka,Marvan S Atapattu,123,01-12-2002,Sun,Willowmoore Park,South Africa,121,1,1.0165289256198347
38005,Sri Lanka,Marvan S Atapattu,119,13-02-2000,Sun,National Stadium,Pakistan,135,1,0.8814814814814815
38006,Sri Lanka,Marvan S Atapattu,118,17-08-1997,Sun,R. Premadasa Stadium,India,153,1,0.7712418300653595
38007,Sri Lanka,Marvan S Atapattu,111,14-10-2004,Thu,Gaddafi Stadium,Pakistan,114,1,0.9736842105263158
38008,Sri Lanka,Marvan S Atapattu,103,15-03-2003,Sat,Buffalo Park,Zimbabwe,127,1,0.8110236220472441
38009,Sri Lanka,Marvan S Atapattu,102,27-10-2000,Fri,Sharjah CA Stadium,India,111,1,0.918918918918919
38010,Sri Lanka,Marvan S Atapattu,101,09-01-2003,Thu,Sydney Cricket Ground,Australia,124,1,0.8145161290322581
38011,Sri Lanka,Marvan S Atapattu,101,16-09-2002,Mon,R. Premadasa Stadium,Netherlands,118,1,0.8559322033898306
38012,Sri Lanka,Marvan S Atapattu,100,07-06-2000,Wed,Bangabandhu National Stadium,Pakistan,124,1,0.8064516129032258
38248,Sri Lanka,Arjuna Ranatunga,131,18-07-1997,Fri,R. Premadasa Stadium,India,152,1,0.8618421052631579
38249,Sri Lanka,Arjuna Ranatunga,102,05-07-1998,Sun,Sinhalese Sports Club Ground,New Zealand,98,1,1.0408163265306123
38250,Sri Lanka,Arjuna Ranatunga,102,29-09-1995,Fri,Jinnah Stadium (Gujwranwala),Pakistan,112,1,0.9107142857142857
38251,Sri Lanka,Arjuna Ranatunga,101,02-12-1994,Fri,Kingsmead,Pakistan,108,1,0.9351851851851852
38483,Sri Lanka,Tillekeratne M Dilshan,160,15-12-2009,Tue,Madhavrao Scindia Cricket Ground,India,124,1,1.2903225806451613
38484,Sri Lanka,Tillekeratne M Dilshan,144,10-03-2011,Thu,Pallekele International Stadium,Zimbabwe,131,1,1.099236641221374
38485,Sri Lanka,Tillekeratne M Dilshan,137,24-01-2009,Sat,Gaddafi Stadium,Pakistan,139,1,0.9856115107913669
38486,Sri Lanka,Tillekeratne M Dilshan,123,18-12-2009,Fri,Vidarbha Cricket Association Stadium,India,113,1,1.0884955752212389
38487,Sri Lanka,Tillekeratne M Dilshan,117,04-07-2006,Tue,VRA Ground,Netherlands,79,1,1.481012658227848
38488,Sri Lanka,Tillekeratne M Dilshan,110,28-08-2010,Sat,Rangiri Dambulla International Stad.,India,115,1,0.9565217391304348
38489,Sri Lanka,Tillekeratne M Dilshan,108,09-06-2010,Wed,Harare Sports Club,Zimbabwe,102,1,1.0588235294117647
38490,Sri Lanka,Tillekeratne M Dilshan,108,26-03-2011,Sat,R. Premadasa Stadium,England,115,1,0.9391304347826087
38491,Sri Lanka,Tillekeratne M Dilshan,106,22-09-2009,Tue,Supersport Park,South Africa,92,1,1.1521739130434783
38492,Sri Lanka,Tillekeratne M Dilshan,104,04-01-2010,Mon,Shere Bangla National Stadium,Bangladesh,122,1,0.8524590163934426
38666,Sri Lanka,Roshan S Mahanama,119,03-11-1994,Thu,Harare Sports Club,Zimbabwe,142,1,0.8380281690140845
38667,Sri Lanka,Roshan S Mahanama,108,05-11-1994,Sat,Harare Sports Club,Zimbabwe,149,1,0.7248322147651006
38668,Sri Lanka,Roshan S Mahanama,107,13-12-1992,Sun,R. Premadasa Stadium,New Zealand,132,1,0.8106060606060606
38669,Sri Lanka,Roshan S Mahanama,101,11-10-1995,Wed,Sharjah CA Stadium,West Indies,153,1,0.6601307189542484
38848,Sri Lanka,W Upul Tharanga,133,10-03-2011,Thu,Pallekele International Stadium,Zimbabwe,141,1,0.9432624113475178
38849,Sri Lanka,W Upul Tharanga,120,17-06-2006,Sat,Lord's,England,156,1,0.7692307692307693
38850,Sri Lanka,W Upul Tharanga,118,24-12-2009,Thu,Eden Gardens,India,128,1,0.921875
38851,Sri Lanka,W Upul Tharanga,118,08-01-2010,Fri,Shere Bangla National Stadium,Bangladesh,126,1,0.9365079365079365
38852,Sri Lanka,W Upul Tharanga,111,16-08-2011,Tue,Mahinda Rajapaksha International,Australia,139,1,0.7985611510791367
38853,Sri Lanka,W Upul Tharanga,110,10-10-2006,Tue,Sardar Patel Stadium,Zimbabwe,130,1,0.8461538461538461
38854,Sri Lanka,W Upul Tharanga,109,01-07-2006,Sat,Headingley,England,102,1,1.0686274509803921
38855,Sri Lanka,W Upul Tharanga,105,07-10-2006,Sat,Punjab Cricket Association Stadium,Bangladesh,129,1,0.813953488372093
38856,Sri Lanka,W Upul Tharanga,105,02-09-2005,Fri,R. Premadasa Stadium,Bangladesh,110,1,0.9545454545454546
38857,Sri Lanka,W Upul Tharanga,103,03-01-2006,Tue,AMI Stadium,New Zealand,125,1,0.824
38858,Sri Lanka,W Upul Tharanga,102,26-03-2011,Sat,R. Premadasa Stadium,England,122,1,0.8360655737704918
38859,Sri Lanka,W Upul Tharanga,101,03-02-2011,Thu,Sinhalese Sports Club Ground,West Indies,143,1,0.7062937062937062
38958,Sri Lanka,Russel P Arnold,103,12-12-1999,Sun,Queens Sports Club,Zimbabwe,121,1,0.8512396694214877
39106,Sri Lanka,Asanka P Gurusinha,117,18-04-1994,Mon,Sharjah CA Stadium,New Zealand,140,1,0.8357142857142857
39107,Sri Lanka,Asanka P Gurusinha,108,01-04-1995,Sat,Eden Park,New Zealand,149,1,0.7248322147651006
39237,Sri Lanka,Hashan P Tillakaratne,104,09-11-1993,Tue,Wankhede Stadium,West Indies,116,1,0.896551724137931
39238,Sri Lanka,Hashan P Tillakaratne,100,16-10-1995,Mon,Sharjah CA Stadium,West Indies,106,1,0.9433962264150944
39394,Sri Lanka,Romesh S Kaluwitharana,102,27-03-2001,Tue,Sinhalese Sports Club Ground,England,117,1,0.8717948717948718
39395,Sri Lanka,Romesh S Kaluwitharana,100,28-09-1996,Sat,Gymkhana Club Ground,Kenya,89,1,1.1235955056179776
39741,Sri Lanka,Dihan A Gunawardene,132,04-10-2000,Wed,Gymkhana Club Ground,West Indies,146,1,0.9041095890410958
39899,Sri Lanka,Lindamlilage P C Silva,107,17-02-2007,Sat,AC-VDCA Stadium,India,107,1,1.0
39954,Sri Lanka,Roy L Dias,121,26-09-1982,Sun,M.Chinnaswamy Stadium,India,144,1,0.8402777777777778
39955,Sri Lanka,Roy L Dias,102,15-09-1982,Wed,Feroz Shah Kotla,India,114,1,0.8947368421052632
40459,Sri Lanka,Thilan T Samaraweera,105,05-01-2010,Tue,Shere Bangla National Stadium,India,106,1,0.9905660377358491
40460,Sri Lanka,Thilan T Samaraweera,104,08-09-2009,Tue,R. Premadasa Stadium,New Zealand,124,1,0.8387096774193549
41127,Sri Lanka,L Dinesh Chandimal,111,05-06-2010,Sat,Harare Sports Club,India,118,1,0.940677966101695
41128,Sri Lanka,L Dinesh Chandimal,105,03-07-2011,Sun,Lord's,England,126,1,0.8333333333333334
41921,West Indies,Brian C Lara,169,16-10-1995,Mon,Sharjah CA Stadium,Sri Lanka,129,1,1.310077519379845
41922,West Indies,Brian C Lara,156,28-01-2005,Fri,Adelaide Oval,Pakistan,138,1,1.1304347826086956
41923,West Indies,Brian C Lara,153,05-11-1993,Fri,Sharjah CA Stadium,Pakistan,143,1,1.06993006993007
41924,West Indies,Brian C Lara,146,30-03-1996,Sat,Queen's Park Oval,New Zealand,134,1,1.0895522388059702
41925,West Indies,Brian C Lara,139,12-03-1995,Sun,Queen's Park Oval,Australia,123,1,1.1300813008130082
41926,West Indies,Brian C Lara,128,19-02-1993,Fri,Kingsmead,Pakistan,125,1,1.024
41927,West Indies,Brian C Lara,117,09-10-1999,Sat,Bangabandhu National Stadium,Bangladesh,62,1,1.8870967741935485
41928,West Indies,Brian C Lara,116,09-02-2003,Sun,Newlands,South Africa,134,1,0.8656716417910447
41929,West Indies,Brian C Lara,116,17-01-2001,Wed,Sydney Cricket Ground,Australia,106,1,1.0943396226415094
41930,West Indies,Brian C Lara,116,08-06-2003,Sun,Kensington Oval,Sri Lanka,106,1,1.0943396226415094
41931,West Indies,Brian C Lara,114,23-03-1993,Tue,Sabina Park,Pakistan,116,1,0.9827586206896551
41932,West Indies,Brian C Lara,113,22-11-2003,Sat,Queens Sports Club,Zimbabwe,82,1,1.3780487804878048
41933,West Indies,Brian C Lara,111,23-02-1993,Tue,OUTsurance Oval,South Africa,140,1,0.7928571428571428
41934,West Indies,Brian C Lara,111,11-03-1996,Mon,National Stadium,South Africa,94,1,1.1808510638297873
41935,West Indies,Brian C Lara,111,17-09-2002,Tue,Sinhalese Sports Club Ground,Kenya,120,1,0.925
41936,West Indies,Brian C Lara,110,29-03-1998,Sun,Kensington Oval,England,106,1,1.0377358490566038
41937,West Indies,Brian C Lara,104,06-04-1996,Sat,Arnos Vale Ground,New Zealand,103,1,1.0097087378640777
41938,West Indies,Brian C Lara,103,10-01-1997,Fri,W.A.C.A. Ground,Pakistan,116,1,0.8879310344827587
41939,West Indies,Brian C Lara,102,05-01-1997,Sun,Brisbane Cricket Ground,Australia,114,1,0.8947368421052632
42194,West Indies,Shivnarine Chanderpaul,150,24-01-1999,Sun,Buffalo Park,South Africa,136,1,1.1029411764705883
42195,West Indies,Shivnarine Chanderpaul,149,21-01-2007,Sun,Vidarbha Cricket Association Ground,India,136,1,1.0955882352941178
42196,West Indies,Shivnarine Chanderpaul,127,30-11-2007,Fri,Harare Sports Club,Zimbabwe,138,1,0.9202898550724637
42197,West Indies,Shivnarine Chanderpaul,116,04-07-2007,Wed,Edgbaston,England,122,1,0.9508196721311475
42198,West Indies,Shivnarine Chanderpaul,112,22-03-2009,Sun,Providence Stadium,England,134,1,0.835820895522388
42199,West Indies,Shivnarine Chanderpaul,109,03-05-1997,Sat,Kensington Oval,India,134,1,0.8134328358208955
42200,West Indies,Shivnarine Chanderpaul,108,08-06-2002,Sat,Beausejour Cricket Ground,New Zealand,138,1,0.782608695652174
42201,West Indies,Shivnarine Chanderpaul,107,14-11-2008,Fri,Sheik Zayed Stadium,Pakistan,149,1,0.7181208053691275
42202,West Indies,Shivnarine Chanderpaul,102,23-03-2007,Fri,Queen's Park Oval,Ireland,113,1,0.9026548672566371
42203,West Indies,Shivnarine Chanderpaul,101,16-12-2006,Sat,National Stadium,Pakistan,142,1,0.7112676056338029
42204,West Indies,Shivnarine Chanderpaul,101,13-04-2010,Tue,Sabina Park,Canada,120,1,0.8416666666666667
42439,West Indies,Desmond L Haynes,152,21-03-1989,Tue,Bourda,India,126,1,1.2063492063492063
42440,West Indies,Desmond L Haynes,148,22-02-1978,Wed,Antigua Recreation Ground,Australia,136,1,1.088235294117647
42441,West Indies,Desmond L Haynes,145,14-04-1985,Sun,Albion Sports Complex,New Zealand,157,1,0.9235668789808917
42442,West Indies,Desmond L Haynes,142,18-03-1988,Fri,Queen's Park Oval,Pakistan,132,1,1.0757575757575757
42443,West Indies,Desmond L Haynes,138,27-10-1989,Fri,Captain Roop Singh Stadium,England,164,1,0.8414634146341463
42444,West Indies,Desmond L Haynes,133,29-02-1984,Wed,Albion Sports Complex,Australia,147,1,0.9047619047619048
