,Country,Player,Runs,MatchDate,Weekday,Ground,Versus,Balls,Centuries,Strike_Rate
27919,Pakistan,Salim Malik,101,19-10-1988,Wed,Sharjah CA Stadium,India,124,1,0.8145161290322581
27920,Pakistan,Salim Malik,100,24-03-1989,Fri,Sharjah CA Stadium,Sri Lanka,112,1,0.8928571428571429
27921,Pakistan,Salim Malik,100,25-10-1987,Sun,Iqbal Stadium,Sri Lanka,95,1,1.0526315789473684
28153,Pakistan,Shahid Afridi,124,21-06-2010,Mon,Rangiri Dambulla International Stad.,Bangladesh,60,1,2.066666666666667
28154,Pakistan,Shahid Afridi,109,19-09-1998,Sat,"Cricket, Skating & Curling Club",India,94,1,1.1595744680851063
28155,Pakistan,Shahid Afridi,109,15-06-2010,Tue,Rangiri Dambulla International Stad.,Sri Lanka,76,1,1.4342105263157894
28156,Pakistan,Shahid Afridi,108,15-04-2002,Mon,Sharjah CA Stadium,New Zealand,92,1,1.173913043478261
28157,Pakistan,Shahid Afridi,102,04-10-1996,Fri,Gymkhana Club Ground,Sri Lanka,40,1,2.55
28158,Pakistan,Shahid Afridi,102,15-04-2005,Fri,Green Park,India,46,1,2.217391304347826
28430,Pakistan,Ijaz Ahmed,139,02-10-1997,Thu,Gaddafi Stadium,India,84,1,1.6547619047619047
28431,Pakistan,Ijaz Ahmed,137,07-04-1999,Wed,Sharjah CA Stadium,England,130,1,1.0538461538461539
28432,Pakistan,Ijaz Ahmed,132,24-11-1998,Tue,Rawalpindi Cricket Stadium,Zimbabwe,103,1,1.2815533980582525
28433,Pakistan,Ijaz Ahmed,124,29-10-1988,Sat,M A Aziz Stadium,Bangladesh,87,1,1.4252873563218391
28434,Pakistan,Ijaz Ahmed,117,18-01-1998,Sun,Bangabandhu National Stadium,India,112,1,1.0446428571428572
28435,Pakistan,Ijaz Ahmed,117,03-11-1996,Sun,Arbab Niaz Stadium,Zimbabwe,105,1,1.1142857142857143
28436,Pakistan,Ijaz Ahmed,114,17-12-1994,Sat,Kingsmead,South Africa,90,1,1.2666666666666666
28437,Pakistan,Ijaz Ahmed,111,10-11-1998,Tue,Gaddafi Stadium,Australia,109,1,1.018348623853211
28438,Pakistan,Ijaz Ahmed,110,20-10-1994,Thu,Rawalpindi Cricket Stadium,South Africa,110,1,1.0
28439,Pakistan,Ijaz Ahmed,102,10-02-1990,Sat,Brisbane Cricket Ground,Sri Lanka,100,1,1.02
28648,Pakistan,Younis Khan,144,18-07-2004,Sun,Sinhalese Sports Club Ground,Hong Kong,122,1,1.180327868852459
28649,Pakistan,Younis Khan,123,02-07-2008,Wed,National Stadium,India,117,1,1.0512820512820513
28650,Pakistan,Younis Khan,117,08-11-2007,Thu,Punjab Cricket Association Stadium,India,110,1,1.0636363636363637
28651,Pakistan,Younis Khan,108,14-06-2008,Sat,Shere Bangla National Stadium,India,99,1,1.0909090909090908
28652,Pakistan,Younis Khan,101,16-11-2008,Sun,Sheik Zayed Stadium,West Indies,119,1,0.8487394957983193
28653,Pakistan,Younis Khan,101,05-09-2006,Tue,The Rose Bowl,England,109,1,0.926605504587156
28844,Pakistan,Ramiz Raja,119,18-03-1992,Wed,AMI Stadium,New Zealand,155,1,0.7677419354838709
28845,Pakistan,Ramiz Raja,116,15-02-1990,Thu,Bellerive Oval,Sri Lanka,148,1,0.7837837837837838
28846,Pakistan,Ramiz Raja,114,06-11-1990,Tue,Jinnah Stadium (Sialkot),New Zealand,123,1,0.926829268292683
28847,Pakistan,Ramiz Raja,113,20-10-1987,Tue,National Stadium,England,148,1,0.7635135135135135
28848,Pakistan,Ramiz Raja,109,04-02-1993,Thu,Sharjah CA Stadium,Sri Lanka,115,1,0.9478260869565217
28849,Pakistan,Ramiz Raja,107,17-02-1990,Sat,Adelaide Oval,Sri Lanka,154,1,0.6948051948051948
28850,Pakistan,Ramiz Raja,104,13-10-1995,Fri,Sharjah CA Stadium,West Indies,134,1,0.7761194029850746
28851,Pakistan,Ramiz Raja,102,23-02-1992,Sun,Melbourne Cricket Ground,West Indies,158,1,0.6455696202531646
28852,Pakistan,Ramiz Raja,101,11-03-1989,Sat,Eden Park,New Zealand,114,1,0.8859649122807017
29025,Pakistan,Shoaib Malik,143,24-07-2004,Sat,R. Premadasa Stadium,India,127,1,1.125984251968504
29026,Pakistan,Shoaib Malik,128,26-09-2009,Sat,Supersport Park,India,126,1,1.0158730158730158
29027,Pakistan,Shoaib Malik,125,26-06-2008,Thu,National Stadium,India,119,1,1.050420168067227
29028,Pakistan,Shoaib Malik,118,18-07-2004,Sun,Sinhalese Sports Club Ground,Hong Kong,110,1,1.0727272727272728
29029,Pakistan,Shoaib Malik,115,27-04-2002,Sat,Gaddafi Stadium,New Zealand,142,1,0.8098591549295775
29030,Pakistan,Shoaib Malik,111,15-02-2002,Fri,Sharjah CA Stadium,West Indies,130,1,0.8538461538461538
29031,Pakistan,Shoaib Malik,108,13-02-2006,Mon,Gaddafi Stadium,India,120,1,0.9
29189,Pakistan,Abdul Razzaq,112,11-12-2002,Wed,St George's Park,South Africa,120,1,0.9333333333333333
29190,Pakistan,Abdul Razzaq,109,31-10-2010,Sun,Sheik Zayed Stadium,South Africa,72,1,1.5138888888888888
29191,Pakistan,Abdul Razzaq,107,30-09-2004,Thu,Multan Cricket Stadium,Zimbabwe,114,1,0.9385964912280702
29399,Pakistan,Aamir Sohail,134,20-04-1994,Wed,Sharjah CA Stadium,New Zealand,146,1,0.9178082191780822
29400,Pakistan,Aamir Sohail,114,27-02-1992,Thu,Bellerive Oval,Zimbabwe,136,1,0.8382352941176471
29401,Pakistan,Aamir Sohail,111,29-02-1996,Thu,National Stadium,South Africa,139,1,0.7985611510791367
29402,Pakistan,Aamir Sohail,105,12-04-1996,Fri,Sharjah CA Stadium,India,127,1,0.8267716535433071
29403,Pakistan,Aamir Sohail,100,02-12-1994,Fri,Kingsmead,Sri Lanka,119,1,0.8403361344537815
29792,Pakistan,Imran Khan,102,16-06-1983,Thu,Headingley,Sri Lanka,133,1,0.7669172932330827
30101,Pakistan,Kamran Akmal,124,19-01-2005,Wed,Brisbane Cricket Ground,West Indies,125,1,0.992
