,Metric,Logistic Regression,Naive Bayes,Random Forrest,XG Boost
0,Accuracy,0.8632410009367055,0.7936571657968687,0.8481198983005487,0.8802355145189348
1,Precision,0.956045751633987,0.9540724793684966,0.9432647106500243,0.9407132931912923
2,Recall,0.8859781950333131,0.8052695336159903,0.8811326468806784,0.9226226529376136
3,F1Score,0.9196793461175731,0.8733782230251272,0.9111406873874579,0.9315801544224448
4,Auc Score,0.8927187135599374,0.8305281382626144,0.8490790705357634,0.883745876370216
5,Sensitivity,0.89,0.81,0.88,0.92
6,Specificity,0.69,0.71,0.6,0.56
